Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T023_001,SE_T038_001,SE_T045_001,SE_T046_001,SE_T046_002,SE_T046_003,SE_T046_004,SE_T046_005,SE_T051_001,SE_T051_002,SE_T051_003
"B0051","51","140","42017B0510000","42","017",909,909,901,8,0,0,281,316,316,282,34,3,31,282,190,92
"B0052","52","140","42017B0520000","42","017",1013,1013,918,94,1,0,299,308,308,299,9,1,8,299,202,97
"B0053","53","140","42017B0530000","42","017",2095,2095,2005,90,0,31360,655,669,669,654,15,7,8,654,378,276
"B0054","54","140","42017B0540000","42","017",1410,1410,1390,20,0,0,409,456,456,409,47,2,45,409,271,138
"B0055","55","140","42017B0550000","42","017",3211,3211,3151,58,2,49320,895,971,971,900,71,17,54,900,731,169
"B0056","56","140","42017B0560000","42","017",1916,1916,1743,173,0,37050,551,575,575,553,22,10,12,553,382,171
"B0057","57","140","42017B0570000","42","017",6787,6787,6739,47,1,39420,1987,2071,2071,2001,70,24,46,2001,1513,488
"B0058","58","140","42017B0580000","42","017",3540,3540,3170,368,2,30630,970,1081,1081,972,109,2,107,972,522,450
"B0059","59","140","42017B0590000","42","017",648,648,634,13,1,0,172,170,170,170,0,0,0,170,109,61
"D0001","1","140","42045D0010000","42","045",901,901,901,0,0,0,334,343,343,335,8,8,0,335,86,249
"D0002","2","140","42045D0020000","42","045",3682,3682,3681,1,0,36330,1100,1111,1111,1101,10,4,6,1101,871,230
"D0003","3","140","42045D0030000","42","045",13043,13043,12929,111,3,37620,3850,3923,3923,3864,59,8,51,3864,3155,709
"D0004","4","140","42045D0040000","42","045",9566,9566,9545,11,10,41920,3133,3159,3159,3119,40,13,27,3119,2179,940
"D0005","5","140","42045D0050000","42","045",5038,5038,5032,2,4,38830,1415,1429,1429,1413,16,6,10,1413,1186,227
"D0006","6","140","42045D0060000","42","045",5890,5890,5885,5,0,43850,1663,1689,1689,1668,21,15,6,1668,1355,313
