Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"26A","26-A","140","4210102601000","42","101",3037,3037,1090,1931,16,828,828,807,21,21,0,807,219,588
"26B","26-B","140","4210102602000","42","101",8700,8700,7356,1339,5,2115,2115,2055,60,58,2,2055,735,1320
"26C","26-C","140","4210102603000","42","101",10841,10841,10374,461,6,2296,2296,2230,66,63,3,2230,1246,984
"26D","26-D","140","4210102604000","42","101",15342,15342,13156,2164,22,3472,3472,3423,49,46,3,3423,1719,1704
"26E","26-E","140","4210102605000","42","101",21148,21148,21133,4,11,5156,5156,5069,87,80,7,5069,2281,2788
"26F","26-F","140","4210102606000","42","101",1435,1435,1416,19,0,204,204,202,2,2,0,202,39,163
"27A","27-A","140","4210102701000","42","101",3470,3470,2947,518,5,1119,1119,994,125,123,2,994,108,886
"27B","27-B","140","4210102702000","42","101",5514,5514,4685,824,5,2204,2204,1923,281,182,99,1923,239,1684
"27C","27-C","140","4210102703000","42","101",7289,7289,6868,419,2,3264,3264,2904,360,341,19,2904,424,2480
"27D","27-D","140","4210102704000","42","101",2360,2360,1459,900,1,792,792,747,45,43,2,747,73,674
"27E","27-E","140","4210102705000","42","101",2338,2338,1987,343,8,21,21,21,0,0,0,21,5,16
"28A","28-A","140","4210102801000","42","101",11259,11259,10713,520,26,3380,3380,3206,174,163,11,3206,1177,2029
"28B","28-B","140","4210102802000","42","101",10672,10672,4941,5729,2,2934,2934,2796,138,135,3,2796,660,2136
"28C","28-C","140","4210102803000","42","101",17059,17059,13982,3071,6,4619,4619,4397,222,218,4,4397,1218,3179
"28D","28-D","140","4210102804000","42","101",7315,7315,7311,3,1,2060,2060,1966,94,89,5,1966,749,1217
"28E","28-E","140","4210102805000","42","101",3686,3686,3445,230,11,1263,1263,1184,79,79,0,1184,327,857
"29A","29-A","140","4210102901000","42","101",11488,11488,7937,3543,8,3307,3307,3161,146,137,9,3161,968,2193
"29B","29-B","140","4210102902000","42","101",12,12,12,0,0,4,4,4,0,0,0,4,0,4
"29C","29-C","140","4210102903000","42","101",10724,10724,10589,128,7,3110,3110,2956,154,149,5,2956,1252,1704
"29D","29-D","140","4210102904000","42","101",8439,8439,3311,5127,1,2125,2125,2046,79,78,1,2046,396,1650
"30A","30-A","140","4210103001000","42","101",16554,16554,785,15752,17,4741,4741,4576,165,160,5,4576,564,4012
"30B","30-B","140","4210103002000","42","101",11051,11051,4604,6433,14,2802,2802,2704,98,98,0,2704,666,2038
"31A","31-A","140","4210103101000","42","101",12901,12901,12896,1,4,3554,3554,3407,147,146,1,3407,1145,2262
"31B","31-B","140","4210103102000","42","101",9855,9855,9853,0,2,2548,2548,2465,83,80,3,2465,1160,1305
"31C","31-C","140","4210103103000","42","101",3484,3484,3484,0,0,878,878,856,22,22,0,856,421,435
