Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 2019.01,"Census Tract 2019.01, Montgomery County, Pennsylvania",42091201901,140,0,42,91,20,,201901,4725,4725,4329,58,2,249,0,22,65,1795,1687,20,1,69,0,5,13,1795,28,1767,1795,1667,128,1854,1795,1671,124,1854,1795,59,422,105
Census Tract 2019.02,"Census Tract 2019.02, Montgomery County, Pennsylvania",42091201902,140,0,42,91,20,,201902,5968,5968,4359,776,4,679,4,54,92,2479,1863,322,2,252,2,16,22,2479,40,2439,2479,1844,635,2683,2479,1642,837,2683,2479,204,996,147
Census Tract 2020,"Census Tract 2020, Montgomery County, Pennsylvania",42091202000,140,0,42,91,20,,202000,2543,2543,2436,10,1,31,0,13,52,1051,1016,4,1,13,0,5,12,1051,15,1036,1051,1006,45,1097,1051,690,361,1097,1051,46,413,52
Census Tract 2021,"Census Tract 2021, Montgomery County, Pennsylvania",42091202100,140,0,42,91,20,,202100,4422,4422,3988,254,0,87,0,14,79,2014,1832,125,0,28,0,4,25,2014,40,1974,2014,1799,215,2128,2014,1341,673,2128,2014,114,931,134
Census Tract 2022.01,"Census Tract 2022.01, Montgomery County, Pennsylvania",42091202201,140,0,42,91,20,,202201,4810,4810,3577,715,2,357,0,50,109,1798,1414,244,1,98,0,14,27,1798,59,1739,1798,1375,423,1885,1798,1448,350,1885,1798,87,495,219
Census Tract 2022.02,"Census Tract 2022.02, Montgomery County, Pennsylvania",42091202202,140,0,42,91,20,,202202,3006,3006,1028,1205,1,647,3,56,66,960,410,370,0,150,1,16,13,960,49,911,960,384,576,989,960,941,19,989,960,29,146,195
Census Tract 2023.01,"Census Tract 2023.01, Montgomery County, Pennsylvania",42091202301,140,0,42,91,20,,202301,4571,4571,3630,512,4,301,0,24,100,1935,1602,203,1,102,0,8,19,1935,42,1893,1935,1574,361,2068,1935,1444,491,2068,1935,133,625,107
Census Tract 2023.02,"Census Tract 2023.02, Montgomery County, Pennsylvania",42091202302,140,0,42,91,20,,202302,2100,2100,1442,490,8,93,3,19,45,923,688,183,2,34,1,6,9,923,22,901,923,673,250,985,923,817,106,985,923,62,325,66
Census Tract 2024.01,"Census Tract 2024.01, Montgomery County, Pennsylvania",42091202401,140,0,42,91,20,,202401,3554,3554,179,2901,31,288,1,35,119,1755,120,1424,12,129,1,21,48,1755,55,1700,1755,113,1642,1866,1755,10,1745,1866,1755,111,864,144
Census Tract 2024.02,"Census Tract 2024.02, Montgomery County, Pennsylvania",42091202402,140,0,42,91,20,,202402,4689,4689,2181,1808,14,439,0,101,146,1715,885,626,3,141,0,24,36,1715,58,1657,1715,864,851,1823,1715,1351,364,1823,1715,108,410,216
Census Tract 2025,"Census Tract 2025, Montgomery County, Pennsylvania",42091202500,140,0,42,91,20,,202500,5236,5236,1983,2665,12,362,1,56,157,2159,827,1118,5,148,0,13,48,2159,68,2091,2159,794,1365,2351,2159,988,1171,2351,2159,192,1058,217
Census Tract 2026.02,"Census Tract 2026.02, Montgomery County, Pennsylvania",42091202602,140,0,42,91,20,,202602,2624,2624,2088,361,4,101,2,15,53,1008,869,87,1,39,0,3,9,1008,13,995,1008,860,148,1131,1008,579,429,1131,1008,123,452,74
