Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001
"42101024100","14000US42101024100","Census Tract 241, Philadelphia County, Pennsylvania","Census Tract 241, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014236",,,,,"42","101",,,,"024100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11353
"42101024200","14000US42101024200","Census Tract 242, Philadelphia County, Pennsylvania","Census Tract 242, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014237",,,,,"42","101",,,,"024200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28234
"42101024300","14000US42101024300","Census Tract 243, Philadelphia County, Pennsylvania","Census Tract 243, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014238",,,,,"42","101",,,,"024300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33427
"42101024400","14000US42101024400","Census Tract 244, Philadelphia County, Pennsylvania","Census Tract 244, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014239",,,,,"42","101",,,,"024400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33074
"42101024500","14000US42101024500","Census Tract 245, Philadelphia County, Pennsylvania","Census Tract 245, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014240",,,,,"42","101",,,,"024500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30446
"42101024600","14000US42101024600","Census Tract 246, Philadelphia County, Pennsylvania","Census Tract 246, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014241",,,,,"42","101",,,,"024600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19510
"42101024700","14000US42101024700","Census Tract 247, Philadelphia County, Pennsylvania","Census Tract 247, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014242",,,,,"42","101",,,,"024700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21765
"42101024800","14000US42101024800","Census Tract 248, Philadelphia County, Pennsylvania","Census Tract 248, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014243",,,,,"42","101",,,,"024800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36481
"42101024900","14000US42101024900","Census Tract 249, Philadelphia County, Pennsylvania","Census Tract 249, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014244",,,,,"42","101",,,,"024900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30762
"42101025200","14000US42101025200","Census Tract 252, Philadelphia County, Pennsylvania","Census Tract 252, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014245",,,,,"42","101",,,,"025200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34281
"42101025300","14000US42101025300","Census Tract 253, Philadelphia County, Pennsylvania","Census Tract 253, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014246",,,,,"42","101",,,,"025300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33005
"42101025400","14000US42101025400","Census Tract 254, Philadelphia County, Pennsylvania","Census Tract 254, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014247",,,,,"42","101",,,,"025400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52625
"42101025500","14000US42101025500","Census Tract 255, Philadelphia County, Pennsylvania","Census Tract 255, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014248",,,,,"42","101",,,,"025500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79808
"42101025600","14000US42101025600","Census Tract 256, Philadelphia County, Pennsylvania","Census Tract 256, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014249",,,,,"42","101",,,,"025600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69004
"42101025700","14000US42101025700","Census Tract 257, Philadelphia County, Pennsylvania","Census Tract 257, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014250",,,,,"42","101",,,,"025700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64938
"42101025800","14000US42101025800","Census Tract 258, Philadelphia County, Pennsylvania","Census Tract 258, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014251",,,,,"42","101",,,,"025800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57083
"42101025900","14000US42101025900","Census Tract 259, Philadelphia County, Pennsylvania","Census Tract 259, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014252",,,,,"42","101",,,,"025900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37472
"42101026000","14000US42101026000","Census Tract 260, Philadelphia County, Pennsylvania","Census Tract 260, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014253",,,,,"42","101",,,,"026000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44885
"42101026100","14000US42101026100","Census Tract 261, Philadelphia County, Pennsylvania","Census Tract 261, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014254",,,,,"42","101",,,,"026100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53013
"42101026200","14000US42101026200","Census Tract 262, Philadelphia County, Pennsylvania","Census Tract 262, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014255",,,,,"42","101",,,,"026200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50093
"42101026301","14000US42101026301","Census Tract 263.01, Philadelphia County, Pennsylvania","Census Tract 263.01, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014256",,,,,"42","101",,,,"026301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41494
"42101026302","14000US42101026302","Census Tract 263.02, Philadelphia County, Pennsylvania","Census Tract 263.02, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014257",,,,,"42","101",,,,"026302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41114
