g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2000,5,34005703000,34,34,1477.0266130672,21.001049156144,38.0047500750896,21.0013849732037,7.00032553199448,1456.0252280939999,1.00019822202464,327.006700737932,1.2713115915773599e-05,1456.0252280939999,,,,1390.01884007387,,,,4126.059,70.00327,110.0111,39.00112,4.000292,1.2713119999999998e-05,21.000510000000002,3882.042,1555.03426039391,1477.0266130672,1319.01834220483,158.00827086236401,78.0076473267093
2000,5,34005703102,34,34,433.705255026998,6.995246048822559,16.9884546899976,8.99388777705757,1.99864172823502,424.71136724993994,0.999320864117508,61.9578935752855,0.0,424.71136724993994,,,,397.729703918768,,,,1259.144,26.981659999999998,51.96468,11.99185,1.9986419999999998,0.0,5.995925,1160.212,479.674014776404,433.705255026998,388.735816141711,44.96943888528789,45.9687597494054
2000,5,34005703103,34,34,1555.9819346622699,41.3919679415305,250.577182269696,71.21198785639659,28.4847951425587,1484.76994680587,3.1155244687173504,506.49526362862196,0.0,1484.76994680587,,,,1170.99212531362,,,,4095.134,145.5395,616.8738,106.818,9.791648,0.8901498,85.89945999999999,3129.322,1602.26972676892,1555.9819346622699,985.840956886991,570.140977775276,46.287792106657804
2000,5,34005703104,34,34,1944.3796053633498,51.6226022273787,312.613578424308,88.8794867633866,35.55168585816789,1855.50011859996,3.8963404929687,633.03338986835,0.0,1855.50011859996,,,,1464.03145652441,,,,5117.833,181.42,770.4071,133.3477,12.31355,1.109227,107.4331,3911.802,2002.4286380176898,1944.3796053633498,1232.6362343418598,711.74337102149,58.0490326543309
2000,5,34005703201,34,34,1375.91277693577,8.99935134356355,19.9983719682415,17.997699804138602,6.999206814893321,1357.9150771316301,8.99870138720809,357.961067751684,0.0,1357.9150771316301,,,,1312.9194458683698,,,,3747.808,32.997659999999996,56.9995,23.99813,21.99681,0.0,28.996540000000003,3582.82,1427.90655422886,1375.91277693577,1242.92790861326,132.984868322512,51.993777293093096
2000,5,34005703202,34,34,896.1244483357609,10.029166139406199,9.17577386859368,14.0499753195541,5.02001729883609,882.074473016207,2.00222366180705,159.359440427272,0.0,882.074473016207,,,,856.85414150835,,,,2625.975,23.102629999999998,29.434009999999997,16.07527,4.0069550000000005,0.0006228939,2.060459,2551.295,924.157400005556,896.1244483357609,809.723870351028,86.40057798473342,28.032951669794897
2000,5,34005703203,34,34,2303.0,6.0,18.0,17.0,5.0,2286.0,1.0,1010.0,0.0,2286.0,,,,2256.0,,,,4017.0,9.0,39.0,12.0,3.0,0.0,0.0,3954.0,2400.0,2303.0,2206.0,97.0,97.0
2000,5,34005703600,34,34,2344.89926241867,13.9932139708911,27.984457829032603,10.9982903748634,5.9989325859078395,2333.9009720438103,2.99910525096166,334.872388544897,7.43423883347981e-06,2333.9009720438103,,,,2282.92501363996,,,,7166.543000000001,51.97518,149.9028,34.99003,6.999828999999999,1.486848e-05,21.99219,6900.683000000001,2383.88780897239,2344.89926241867,2231.9393819279603,112.959880490718,38.9885465537116
2000,5,34005703700,34,34,2131.98532961831,11.0008612116338,14.002225179400199,15.998531214121199,9.99894791115108,2115.98679840419,0.000670537918496228,310.994044248538,0.0,2115.98679840419,,,,2079.98434445248,,,,6461.972,43.00274,53.017340000000004,54.99414,6.999751,2.8929829999999997e-05,19.9999,6283.9580000000005,2174.98351877851,2131.98532961831,2029.9873412368697,101.997988381441,42.99818916019979
2000,5,34005703801,34,34,2309.2172640424,23.955248288385,11.988794864268101,14.9732270431058,9.981442110002279,2294.24403699929,3.99289600743164,514.058099080449,0.9978250475694961,2294.24403699929,,,,2244.32565572921,,,,6448.766,81.84931,40.99062,41.92727,8.984149,1.99565,5.998653,6267.02,2367.11186242443,2309.2172640424,1923.99668656779,385.22057747461304,57.89459838202829
2000,5,34005703802,34,34,1620.75881471523,19.9970242407802,33.9949412093263,21.996726664858198,8.99866090835108,1598.7620880503698,3.9994048481560402,587.912512678937,0.9998512120390091,1598.7620880503698,,,,1534.77161047988,,,,3845.428,63.990480000000005,62.99063,22.996579999999998,8.998661,3.9994050000000003,22.996579999999998,3659.455,1704.74631652651,1620.75881471523,998.8513608269699,621.9074538882641,83.9875018112768
2000,5,34005703803,34,34,1809.0,17.0,3.0,15.0,4.0,1794.0,2.0,318.0,1.0,1794.0,,,,1769.0,,,,5101.0,63.0,16.0,27.0,3.0,2.0,12.0,4978.0,1820.0,1809.0,1716.0,93.0,11.0
2000,5,34005703804,34,34,2200.64345209465,30.9668439039855,9.98962971063617,13.985076430811901,9.98929992592093,2186.6583756638397,2.99676171051497,237.746275767752,0.0,2186.6583756638397,,,,2132.71586396883,,,,6839.674,117.8737,49.94732,38.9583,4.994697,0.9989206,21.976370000000003,6604.925,2248.59234614443,2200.64345209465,2145.70213760973,54.9413144849228,47.94889404977221
2000,5,34005703900,34,34,1532.01346957733,7.05202043660009,4.0260102183000495,8.03251277287506,5.02167518191671,1523.9809568044598,1.0086700727666802,289.11627186871004,0.00216751819167054,1523.9809568044598,,,,1506.87258089488,,,,4187.0,20.17774,18.08887,23.09104,5.019508,0.004335036,4.013005000000001,4116.606,1560.1391856324499,1532.01346957733,1443.17680755535,88.83666202198481,28.125716055116897
2000,5,34005704004,34,34,1706.0,93.0,73.0,40.0,13.0,1666.0,0.0,764.0,0.0,1666.0,,,,1490.0,,,,3802.0,257.0,180.0,34.0,2.0,0.0,32.0,3297.0,1748.0,1706.0,832.0,874.0,42.0
