Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T077_001,SE_T099_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003
"42017104701","Census Tract 1047.01","Census Tract 1047.01, Bucks County, Pennsylvania","00","42","017","104701",2031.945,1987.346,1924.702,57.56129,5.082446,727.587,499.663,60.75124,0.1785845,60.57266,38.48135,128.6915,12997.2328288098,791.8851,727.587,248.8507,478.7364,791.8851,727.587,64.29807
"42017104702","Census Tract 1047.02","Census Tract 1047.02, Bucks County, Pennsylvania","00","42","017","104702",3316.129,3271.02,3247.404,23.49769,0.1187717,1306.565,691.8037,170.5507,64.08192,106.4688,106.8404,337.3698,12248.5795921699,1349.689,1306.565,657.0499,649.5148,1349.689,1306.565,43.12406
"42017104703","Census Tract 1047.03","Census Tract 1047.03, Bucks County, Pennsylvania","00","42","017","104703",2898.275,2876.93,2824.589,43.61813,8.722378,836.9943,646.9613,98.86434,28.11086,70.75349,23.28607,67.88258,13343.1766918089,860.2768,836.9943,652.8087,184.1856,860.2768,836.9943,23.28252
"42017104800","Census Tract 1048","Census Tract 1048, Bucks County, Pennsylvania","00","42","017","104800",2651.799,2623.178,2600.478,22.69962,0.0003552641,543.7912,465.8229,17.76626,0.0007612801,17.7655,8.883586,51.31841,11562.0440577891,547.7398,543.7911,488.5207,55.27046,547.7398,543.7911,3.948639
"42017104901","Census Tract 1049.01","Census Tract 1049.01, Bucks County, Pennsylvania","00","42","017","104901",868.577,864.7563,840.3215,18.7081,5.726711,234.8043,195.4794,9.544943,1.909187,7.635756,14.8901,14.88991,15819.2107325512,245.4946,234.8043,197.387,37.41732,245.4946,234.8043,10.69027
"42017104902","Census Tract 1049.02","Census Tract 1049.02, Bucks County, Pennsylvania","00","42","017","104902",1428.044,1421.398,1381.833,30.29778,9.267301,385.8518,321.5509,15.75597,3.220238,12.53573,24.24718,24.29772,15794.8715586568,403.2342,385.8518,324.7417,61.11006,403.2342,385.8518,17.38243
"42017105003","Census Tract 1050.03","Census Tract 1050.03, Bucks County, Pennsylvania","00","42","017","105003",2668.293,2645.6,2644.066,0,1.533325,642.77,592.477,23.61321,4.293311,19.3199,7.359962,19.3199,15423.6015701668,647.9833,642.77,595.8503,46.91976,647.9833,642.77,5.213305
"42017105004","Census Tract 1050.04","Census Tract 1050.04, Bucks County, Pennsylvania","00","42","017","105004",2021.432,2004.241,2003.079,0,1.161609,486.9466,448.8458,17.88878,3.252506,14.63628,5.575725,14.63628,15423.6015701668,490.8961,486.9466,451.4014,35.54524,490.8961,486.9466,3.949472
"42017105006","Census Tract 1050.06","Census Tract 1050.06, Bucks County, Pennsylvania","00","42","017","105006",1993.516,1976.562,1975.416,0,1.145593,480.2222,442.6474,17.6418,3.207646,14.43416,5.498785,14.43429,15423.5891584793,484.1172,480.2222,445.1678,35.05438,484.1172,480.2222,3.895017
"42017105008","Census Tract 1050.08","Census Tract 1050.08, Bucks County, Pennsylvania","00","42","017","105008",4103.616,4021.067,4021.067,0,0,1037.063,945.3421,49.52956,18.34428,31.18528,17.73281,24.45905,14910.5003088326,1046.847,1037.063,976.5273,60.53614,1046.847,1037.063,9.783665
"42017105009","Census Tract 1050.09","Census Tract 1050.09, Bucks County, Pennsylvania","00","42","017","105009",545.7346,541.0932,540.7796,0,0.3136045,131.463,121.1768,4.829509,0.8780926,3.951417,1.505302,3.951417,15423.6015701668,132.5293,131.463,121.8667,9.596298,132.5293,131.463,1.066261
"42017105010","Census Tract 1050.10","Census Tract 1050.10, Bucks County, Pennsylvania","00","42","017","105010",665.0469,659.3908,659.0087,0,0.382167,160.2044,147.6693,5.885371,1.070067,4.815303,1.834401,4.815304,15423.6015701669,161.5038,160.2044,148.5101,11.69431,161.5038,160.2044,1.299368
"42017105011","Census Tract 1050.11","Census Tract 1050.11, Bucks County, Pennsylvania","00","42","017","105011",799.6459,792.8451,792.3856,0,0.4595138,192.6282,177.5561,7.076512,1.286638,5.789873,2.205666,5.789874,15423.6015701668,194.1905,192.6282,178.5671,14.06112,194.1905,192.6282,1.562346
"42017105012","Census Tract 1050.12","Census Tract 1050.12, Bucks County, Pennsylvania","00","42","017","105012",854.4647,837.2761,837.2761,0,0,215.9398,196.8414,10.31316,3.81969,6.493474,3.692368,5.09292,14910.5003088326,217.977,215.9398,203.3348,12.60498,217.977,215.9398,2.037163
"42017105013","Census Tract 1050.13","Census Tract 1050.13, Bucks County, Pennsylvania","00","42","017","105013",1735.121,1700.217,1700.217,0,0,438.4988,399.7165,20.94245,7.756464,13.18599,7.497916,10.34195,14910.5003088326,442.6356,438.4988,412.9025,25.59633,442.6356,438.4988,4.13676
"42017105100","Census Tract 1051","Census Tract 1051, Bucks County, Pennsylvania","00","42","017","105100",2168.696,2153.649,2153.649,0,0,618.5059,496.3105,45.69076,23.76612,21.92463,30.86784,45.6368,12891.4311495484,634.5193,618.5059,498.3768,120.1291,634.5193,618.5059,16.01349
"42017105202","Census Tract 1052.02","Census Tract 1052.02, Bucks County, Pennsylvania","00","42","017","105202",420.3479,405.9162,393.0534,8.990028,3.872743,123.6627,96.81573,10.55667,2.272665,8.284005,6.012488,10.27782,13693.9466809645,127.6146,123.6627,89.21098,34.45174,127.6146,123.6627,3.951854
"42017105203","Census Tract 1052.03","Census Tract 1052.03, Bucks County, Pennsylvania","00","42","017","105203",555.2387,536.3531,519.0743,12.08879,5.190002,163.923,128.0876,14.04258,3.019305,11.02328,7.961399,13.83138,13638.9617290828,169.1462,163.923,117.9732,45.94983,169.1462,163.923,5.223186
"42017105206","Census Tract 1052.06","Census Tract 1052.06, Bucks County, Pennsylvania","00","42","017","105206",419.4464,405.2722,392.1065,9.278619,3.887125,124.3893,96.73088,10.77057,2.287946,8.482621,6.060605,10.82723,13636.1481184305,128.3857,124.3893,89.11749,35.27179,128.3857,124.3893,3.996422
"42017105207","Census Tract 1052.07","Census Tract 1052.07, Bucks County, Pennsylvania","00","42","017","105207",450.2906,434.9558,420.8665,9.875062,4.21428,133.1831,103.8867,11.46056,2.461937,8.998623,6.492513,11.34336,13629.329672521,137.4461,133.1831,95.65658,37.52651,137.4461,133.1831,4.263033
"42017105208","Census Tract 1052.08","Census Tract 1052.08, Bucks County, Pennsylvania","00","42","017","105208",198.6538,191.9128,185.678,4.384969,1.849804,58.85569,45.82083,5.085577,1.085245,4.000332,2.869526,5.079756,13631.8056989291,60.74477,58.85569,42.19774,16.65795,60.74477,58.85569,1.889082
"42017105300","Census Tract 1053","Census Tract 1053, Bucks County, Pennsylvania","00","42","017","105300",2089.601,2056.83,1976.516,75.33828,4.975454,740.6898,468.1184,89.21516,11.90031,77.31485,36.68681,146.6694,13807.8751505485,770.4305,740.6898,445.2908,295.399,770.4305,740.6898,29.74075
"42017105400","Census Tract 1054","Census Tract 1054, Bucks County, Pennsylvania","00","42","017","105400",2991.011,2941.087,2941.038,0.0394277,0.009693645,856.3691,712.1371,52.07171,11.10072,40.97099,52.01419,40.14616,17944.2004518025,901.3058,856.3691,732.0718,124.2973,901.3058,856.3691,44.93665
